t,vp,vq,iq,ip
0.0,0.0,8.098700739395595,-0.005,0.0
0.00010050251256281407,0.3156854976481053,8.068951150900801,-0.005,0.0
0.00020100502512562814,0.6310563131267365,8.039595056755253,-0.005,0.0
0.00030150753768844223,0.9457980779484494,8.010633400757358,-0.005,0.0
0.0004020100502512563,1.2595970506771756,7.982066532941753,-0.005,0.0
0.0005025125628140704,1.5721404296725077,7.9538940949974535,-0.005,0.0
0.0006030150753768845,1.8831166648971787,7.926114908472359,-0.005,0.0
0.0007035175879396985,2.1922157684769132,7.898726868043285,-0.005,0.0
0.0008040201005025126,2.4991296237030833,7.871726842331027,-0.005,0.0
0.0009045226130653266,2.8035522921701443,7.845110585193655,-0.005,0.0
0.0010050251256281408,3.105180318741688,7.818872661232264,-0.005,0.0
0.001105527638190955,3.403713034041129,7.793006390416595,-0.005,0.0
0.001206030150753769,3.698852854165468,7.767503818187603,-0.005,0.0
0.001306532663316583,3.9903055773234097,7.742355718871934,-0.005,0.0
0.001407035175879397,4.277780677102096,7.717551641355828,-0.005,0.0
0.001507537688442211,4.56099159207016,7.693080006234215,-0.005,0.0
0.0016080402010050252,4.839656011428388,7.668928262623229,-0.005,0.0
0.001708542713567839,5.113496156423266,7.645083110223074,-0.005,0.0
0.0018090452261306533,5.382239057242885,7.6215307880748036,-0.005,0.0
0.0019095477386934672,5.6456168251191805,7.59825742618769,-0.005,0.0
0.0020100502512562816,5.903366919365284,7.575249450610209,-0.005,0.0
0.0021105527638190956,6.155232409081793,7.552494027594264,-0.005,0.0
0.00221105527638191,6.400962229271072,7.529979529279324,-0.005,0.0
0.002311557788944724,6.640311431104312,7.507696002551373,-0.005,0.0
0.002412060301507538,6.873041426091842,7.485635624664704,-0.005,0.0
0.002512562814070352,7.0989202239133276,7.4637931334858445,-0.005,0.0
0.002613065326633166,7.317722663670768,7.44216622587521,-0.005,0.0
0.00271356783919598,7.529230638333771,7.529174447930362,-0.005,-0.011220939917414685
0.002814070351758794,7.7332333121533905,7.733232306980619,-0.005,-0.02314104384683774
0.002914572864321608,7.929527330827786,7.929525496325653,-0.005,-0.022549483476985488
0.003015075376884422,8.117917024210207,8.117915051045623,-0.005,-0.0219405831217227
0.0031155778894472364,8.298214601357259,8.298213556449175,-0.005,-0.021306568358354094
0.0032160804020100503,8.47024033772299,8.470241266196036,-0.005,-0.020649619358251825
0.0033165829145728643,8.633822754312233,8.63382638384174,-0.005,-0.019969899393071255
0.003417085427135678,8.788798788614603,8.788805266813128,-0.005,-0.019266552644398915
0.0035175879396984926,8.93501395714874,8.935022704206272,-0.005,-0.018539025148178512
0.0036180904522613066,9.072322509454814,9.072332360444692,-0.005,-0.017787647183015898
0.0037185929648241205,9.200587573381744,9.200597185680456,-0.005,-0.01701342800504191
0.0038190954773869345,9.319681291524349,9.319689594653983,-0.005,-0.016217552075842967
0.003919597989949748,9.42948494867437,9.429491416243208,-0.005,-0.015401005429426184
0.004020100502512563,9.529889090158392,9.529893754261643,-0.005,-0.014564473708873926
0.004120603015075377,9.620793630944629,9.620796899945569,-0.005,-0.013708442901403384
0.004221105527638191,9.702107955409863,9.702110361768828,-0.005,-0.012833372998009906
0.004321608040201005,9.773751007667071,9.773753001083497,-0.005,-0.01193984491769251
0.00442211055276382,9.8356513723637,9.83565321778885,-0.005,-0.011028634080818
0.004522613065326634,9.887747345870027,9.887749124701987,-0.005,-0.010100707566090328
0.004623115577889448,9.929986997786697,9.929988671533815,-0.005,-0.009157168411015826
0.004723618090452262,9.962328222710068,9.962329710424523,-0.005,-0.008199180576819731
0.004824120603015076,9.984738782203788,9.984740017881544,-0.005,-0.007227903890930865
0.00492462311557789,9.99719633693478,9.99719729533268,-0.005,-0.006244455291887996
0.005025125628140704,9.999688468941564,9.999689165267416,-0.005,-0.0052498982389375115
0.0051256281407035175,9.992212694012757,9.992213169922824,-0.005,-0.0042452522017341066
0.005226130653266332,9.974776464163387,9.974776771333223,-0.005,-0.003231510928225545
